Time_ID,Hour,Minute
0,600,00
1,600,03
2,600,26
3,600,56
4,700,15
5,700,32
6,700,50
7,900,55
8,1000,01
9,1100,00
10,1200,00
11,1200,22
12,1200,36
13,1200,57
14,1300,00
15,1300,30
16,1300,40
17,1300,54
18,1400,00
19,1400,14
20,1500,00
21,1500,05
22,1500,25
23,1500,35
24,1600,00
25,1600,09
26,1600,13
27,1600,20
28,1600,30
29,1600,36
30,1700,00
31,1700,30
32,1700,56
33,1800,00
34,1800,19
35,1800,44
36,1800,48
37,1900,00
38,1900,15
39,1900,37
40,2000,20
41,2000,55
42,2100,00
43,2100,05
44,2100,15
45,2100,24
46,2100,38
47,2100,40
48,2100,45
49,2200,00
50,2200,05
51,2200,10
52,2200,40
53,2200,45
54,2200,56
55,2200,58
56,2300,00
57,2300,30
58,2300,39
59,0,01
60,100,00
61,100,41
62,200,49
63,300,03
64,500,55
65,700,23
66,700,33
67,800,11
68,800,28
69,800,30
70,900,00
71,1000,22
72,1000,30
73,1000,35
74,1100,03
75,1100,18
76,1100,27
77,1100,30
78,1100,32
79,1100,55
80,1100,56
81,1200,15
82,1200,23
83,1300,07
84,1300,10
85,1300,11
86,1300,17
87,1400,07
88,1400,10
89,1400,15
90,1400,25
91,1400,30
92,1400,40
93,1400,49
94,1500,13
95,1500,30
96,1500,38
97,1500,45
98,1600,10
99,1600,45
100,1600,55
101,1700,20
102,1700,45
103,1800,05
104,1800,08
105,1800,30
106,1800,45
107,1900,05
108,1900,19
109,1900,20
110,1900,30
111,1900,41
112,1900,50
113,2000,00
114,2000,10
115,2000,25
116,2000,46
117,2000,59
118,2200,39
119,2300,11
120,2300,57
121,2300,58
122,0,00
123,0,12
124,0,30
125,100,28
126,100,52
127,200,25
128,300,00
129,300,45
130,500,20
131,600,45
132,700,00
133,800,18
134,800,40
135,900,15
136,900,52
137,1000,00
138,1000,27
139,1000,59
140,1100,59
141,1200,02
142,1200,30
143,1200,53
144,1200,55
145,1200,58
146,1300,15
147,1300,35
148,1500,50
149,1500,51
150,1600,11
151,1600,15
152,1600,40
153,1700,10
154,1700,21
155,1700,22
156,1700,40
157,1800,09
158,1800,22
159,1800,52
160,2000,30
161,2000,47
162,2000,54
163,2000,58
164,2100,20
165,2100,25
166,2200,12
167,2200,30
168,2300,15
169,2300,19
170,2300,35
171,2300,37
172,2300,59
173,0,14
174,100,10
175,100,15
176,100,43
177,400,14
178,400,30
179,600,30
180,700,20
181,700,30
182,800,00
183,800,45
184,900,30
185,900,45
186,900,54
187,1000,33
188,1200,10
189,1200,20
190,1200,35
191,1300,08
192,1300,13
193,1300,22
194,1300,25
195,1300,46
196,1400,45
197,1400,47
198,1400,51
199,1500,10
200,1500,15
201,1500,26
202,1600,33
203,1700,26
204,1700,32
205,1800,10
206,1800,11
207,1800,12
208,1800,58
209,1900,45
210,2000,51
211,2100,03
212,2100,30
213,2300,40
214,2300,41
215,0,45
216,200,00
217,200,20
218,200,32
219,400,21
220,500,39
221,700,21
222,800,31
223,1000,05
224,1000,17
225,1000,56
226,1100,45
227,1400,18
228,1400,57
229,1600,05
230,1600,22
231,1600,24
232,1600,46
233,1600,51
234,1700,04
235,1700,15
236,1700,16
237,1700,50
238,1900,07
239,2000,17
240,2000,27
241,2000,49
242,2100,56
243,2200,33
244,2200,50
245,0,32
246,0,44
247,0,55
248,100,30
249,200,30
250,200,55
251,300,01
252,600,23
253,800,35
254,800,49
255,1100,08
256,1100,43
257,1200,25
258,1200,45
259,1300,45
260,1400,20
261,1400,22
262,1600,23
263,1800,55
264,2000,42
265,2300,56
266,0,19
267,100,37
268,100,49
269,200,15
270,200,50
271,300,15
272,300,30
273,400,05
274,500,29
275,800,15
276,900,57
277,1100,53
278,1200,24
279,1300,20
280,1300,53
281,1400,08
282,1400,44
283,1500,55
284,1600,57
285,1700,35
286,1700,59
287,1800,07
288,1800,15
289,1900,53
290,2200,08
291,2300,14
292,0,15
293,0,27
294,100,20
295,100,34
296,100,39
297,100,59
298,200,53
299,300,04
300,300,42
301,500,00
302,800,20
303,1200,04
304,1200,14
305,1200,50
306,1600,43
307,1700,24
308,1700,57
309,1800,20
310,1800,40
311,1900,10
312,1900,12
313,2100,04
314,2100,21
315,2100,46
316,2100,48
317,2200,20
318,2200,21
319,2300,04
320,0,24
321,0,33
322,0,53
323,200,28
324,400,20
325,600,54
326,700,40
327,700,45
328,900,16
329,900,58
330,1000,36
331,1000,45
332,1100,10
333,1100,12
334,1100,35
335,1100,46
336,1300,44
337,1400,19
338,1600,54
339,1700,03
340,1800,34
341,1800,54
342,2000,45
343,2100,06
344,2100,47
345,2200,03
346,2300,32
347,2300,45
348,2300,50
349,0,06
350,0,16
351,0,25
352,200,23
353,300,14
354,500,45
355,800,48
356,900,23
357,1100,04
358,1400,02
359,1400,27
360,1400,54
361,1500,42
362,1600,25
363,1700,29
364,1800,29
365,1800,35
366,1800,53
367,2000,43
368,2100,35
369,2200,15
370,0,04
371,300,05
372,400,58
373,600,53
374,800,50
375,800,56
376,900,21
377,1000,10
378,1000,15
379,1100,02
380,1100,15
381,1100,25
382,1200,16
383,1200,46
384,1300,04
385,1400,17
386,1400,33
387,1400,53
388,1700,43
389,1800,36
390,1900,09
391,2200,28
392,2200,29
393,2200,31
394,100,25
395,200,43
396,500,30
397,700,52
398,900,10
399,900,56
400,1100,20
401,1300,55
402,1400,24
403,1700,07
404,1700,42
405,1900,03
406,2000,26
407,2000,40
408,2100,32
409,2100,43
410,2200,26
411,2300,10
412,2300,54
413,0,10
414,0,21
415,0,50
416,0,54
417,100,26
418,100,35
419,100,36
420,200,40
421,300,48
422,400,00
423,400,07
424,400,33
425,400,40
426,600,40
427,1000,07
428,1000,08
429,1000,20
430,1000,50
431,1100,33
432,1200,27
433,1500,36
434,1600,02
435,1600,07
436,1600,19
437,1600,38
438,1700,27
439,1700,41
440,1700,49
441,1700,51
442,1900,08
443,1900,16
444,1900,35
445,2000,15
446,2100,17
447,2200,35
448,2200,38
449,2200,54
450,2300,17
451,2300,31
452,0,40
453,100,45
454,300,10
455,300,21
456,300,29
457,700,05
458,900,01
459,900,11
460,1000,49
461,1100,50
462,1300,05
463,1300,39
464,1400,21
465,1400,48
466,1600,03
467,1800,38
468,2000,21
469,2000,35
470,0,02
471,0,20
472,100,12
473,100,21
474,200,13
475,600,15
476,700,06
