ObjectID,Offense,Day of week,Date,Time,Lattitude,Longitude
1,THEFT,Thursday,12/31/2015,10:00,41.915187259,-87.775425225
2,THEFT,Wednesday,12/30/2015,23:00,41.90806448,-87.76950279
3,THEFT,Wednesday,12/30/2015,14:00,41.823065163,-87.719443092
4,THEFT,Tuesday,12/22/2015,04:00,41.77268533,-87.582630022
5,THEFT,Wednesday,12/30/2015,09:00,41.92714148,-87.672107209
6,THEFT,Monday,12/28/2015,21:30,41.895407767,-87.67459435
7,THEFT,Sunday,12/27/2015,18:00,41.764778049,-87.676555423
8,ASSAULT,Wednesday,12/30/2015,22:30,41.894243758,-87.634138304
9,THEFT,Monday,12/28/2015,02:00,41.944546322,-87.642907067
10,THEFT,Wednesday,12/16/2015,17:30,41.943109462,-87.703726075
11,THEFT,Thursday,12/31/2015,22:00,41.792107119,-87.617530185
12,THEFT,Tuesday,12/22/2015,10:00,41.994694359,-87.684872359
13,THEFT,Tuesday,12/29/2015,12:00,41.910118996,-87.781744243
14,THEFT,Wednesday,12/30/2015,16:00,41.909902879,-87.647420884
15,THEFT,Friday,12/18/2015,02:00,41.914174117,-87.639402483
16,THEFT,Wednesday,12/23/2015,10:00,41.942461078,-87.655401097
17,THEFT,Sunday,12/27/2015,10:00,41.677161987,-87.619347092
18,THEFT,Monday,12/28/2015,09:30,41.727503622,-87.606173276
19,THEFT,Sunday,12/13/2015,09:00,41.944567545,-87.642785537
20,THEFT,Sunday,12/27/2015,07:00,41.921648217,-87.659946308
21,THEFT,Friday,12/25/2015,23:30,41.763236237,-87.559802041
22,THEFT,Wednesday,12/23/2015,16:00,41.971008987,-87.680479243
23,THEFT,Thursday,12/17/2015,02:00,41.892402053,-87.66874509
24,THEFT,Thursday,12/31/2015,18:00,41.870724666,-87.628597294
25,THEFT,Wednesday,12/30/2015,22:00,41.801583507,-87.633177068
26,THEFT,Thursday,12/31/2015,01:00,41.796271512,-87.770648751
27,THEFT,Tuesday,12/29/2015,08:15,41.88058568,-87.640023065
28,THEFT,Friday,12/25/2015,08:00,41.913106296,-87.710163933
29,THEFT,Thursday,12/31/2015,22:00,41.899228723,-87.752030004
30,THEFT,Saturday,12/26/2015,19:00,41.900179235,-87.673505784
