date,crimes
01/01/2015,48
01/02/2015,57
01/03/2015,57
01/04/2015,45
01/05/2015,35
01/06/2015,46
01/07/2015,36
01/08/2015,35
01/09/2015,38
01/10/2015,51
01/11/2015,61
01/12/2015,54
01/13/2015,51
01/14/2015,54
01/15/2015,67
01/16/2015,60
01/17/2015,70
01/18/2015,82
01/19/2015,85
01/20/2015,82
01/21/2015,68
01/22/2015,64
01/23/2015,69
01/24/2015,81
01/25/2015,65
01/26/2015,43
01/27/2015,54
01/28/2015,65
01/29/2015,66
01/30/2015,62
01/31/2015,51
02/01/2015,23
02/02/2015,47
02/03/2015,46
02/04/2015,53
02/05/2015,46
02/06/2015,63
02/07/2015,53
02/08/2015,54
02/09/2015,63
02/10/2015,51
02/11/2015,46
02/12/2015,42
02/13/2015,50
02/14/2015,43
02/15/2015,40
02/16/2015,36
02/17/2015,53
02/18/2015,40
02/19/2015,39
02/20/2015,47
02/21/2015,71
02/22/2015,50
02/23/2015,48
02/24/2015,53
02/25/2015,31
02/26/2015,31
02/27/2015,59
02/28/2015,51
03/01/2015,59
03/02/2015,54
03/03/2015,41
03/04/2015,51
03/05/2015,53
03/06/2015,60
03/07/2015,58
03/08/2015,63
03/09/2015,85
03/10/2015,77
03/11/2015,66
03/12/2015,65
03/13/2015,81
03/14/2015,64
03/15/2015,76
03/16/2015,87
03/17/2015,69
03/18/2015,56
03/19/2015,72
03/20/2015,78
03/21/2015,73
03/22/2015,62
03/23/2015,46
03/24/2015,52
03/25/2015,74
03/26/2015,72
03/27/2015,56
03/28/2015,66
03/29/2015,59
03/30/2015,81
03/31/2015,75
04/01/2015,77
04/02/2015,76
04/03/2015,68
04/04/2015,61
04/05/2015,56
04/06/2015,55
04/07/2015,48
04/08/2015,75
04/09/2015,63
04/10/2015,66
04/11/2015,50
04/12/2015,84
04/13/2015,58
04/14/2015,72
04/15/2015,79
04/16/2015,56
04/17/2015,78
04/18/2015,68
04/19/2015,67
04/20/2015,61
04/21/2015,65
04/22/2015,63
04/23/2015,80
04/24/2015,68
04/25/2015,75
04/26/2015,85
04/27/2015,55
04/28/2015,77
04/29/2015,78
04/30/2015,45
05/01/2015,81
05/02/2015,56
05/03/2015,97
05/04/2015,72
05/05/2015,65
05/06/2015,66
05/07/2015,70
05/08/2015,70
05/09/2015,62
05/10/2015,77
05/11/2015,73
05/12/2015,70
05/13/2015,87
05/14/2015,69
05/15/2015,64
05/16/2015,88
05/17/2015,68
05/18/2015,70
