Date_ID,Day of Week,Month,Day,Year
0,Thursday,Dec,31,2015
1,Wednesday,Dec,30,2015
2,Tuesday,Dec,22,2015
3,Monday,Dec,28,2015
4,Sunday,Dec,27,2015
5,Wednesday,Dec,16,2015
6,Tuesday,Dec,29,2015
7,Friday,Dec,18,2015
8,Wednesday,Dec,23,2015
9,Sunday,Dec,13,2015
10,Friday,Dec,25,2015
11,Thursday,Dec,17,2015
12,Saturday,Dec,26,2015
13,Thursday,Dec,24,2015
14,Monday,Dec,21,2015
15,Sunday,Dec,20,2015
16,Sunday,Dec,6,2015
17,Friday,Dec,11,2015
18,Saturday,Dec,19,2015
19,Tuesday,Dec,15,2015
20,Friday,Dec,4,2015
21,Monday,Dec,14,2015
22,Saturday,Dec,12,2015
23,Sunday,Nov,29,2015
24,Wednesday,Dec,9,2015
25,Thursday,Dec,10,2015
26,Thursday,Dec,3,2015
27,Saturday,Nov,28,2015
28,Tuesday,Dec,8,2015
29,Wednesday,Dec,2,2015
30,Monday,Nov,23,2015
31,Monday,Nov,30,2015
32,Monday,Dec,7,2015
33,Saturday,Dec,5,2015
34,Tuesday,Dec,1,2015
35,Thursday,Nov,26,2015
36,Wednesday,Nov,25,2015
37,Saturday,Nov,14,2015
38,Friday,Nov,27,2015
39,Saturday,Nov,7,2015
40,Saturday,Nov,21,2015
41,Tuesday,Nov,17,2015
42,Friday,Nov,20,2015
43,Wednesday,Nov,4,2015
44,Tuesday,Nov,24,2015
45,Sunday,Nov,1,2015
46,Sunday,Nov,15,2015
47,Sunday,Nov,22,2015
48,Wednesday,Nov,18,2015
49,Friday,Nov,13,2015
50,Tuesday,Nov,3,2015
51,Wednesday,Nov,11,2015
52,Thursday,Nov,19,2015
53,Monday,Nov,16,2015
54,Tuesday,Nov,10,2015
55,Friday,Nov,6,2015
56,Wednesday,Oct,21,2015
57,Thursday,Nov,12,2015
58,Sunday,Nov,8,2015
59,Thursday,Oct,29,2015
60,Monday,Nov,9,2015
61,Monday,Oct,19,2015
62,Friday,Oct,23,2015
63,Monday,Nov,2,2015
64,Thursday,Nov,5,2015
65,Saturday,Oct,31,2015
66,Saturday,Oct,17,2015
67,Monday,Oct,26,2015
68,Friday,Oct,30,2015
69,Friday,Oct,16,2015
70,Thursday,Oct,15,2015
71,Sunday,Oct,25,2015
72,Saturday,Oct,24,2015
73,Tuesday,Oct,6,2015
74,Wednesday,Oct,28,2015
75,Tuesday,Oct,27,2015
76,Tuesday,Oct,20,2015
77,Friday,Oct,9,2015
78,Thursday,Oct,22,2015
79,Sunday,Oct,18,2015
80,Saturday,Oct,3,2015
81,Saturday,Oct,10,2015
82,Monday,Oct,12,2015
83,Saturday,Sep,26,2015
84,Sunday,Oct,4,2015
85,Wednesday,Oct,14,2015
86,Tuesday,Sep,29,2015
87,Sunday,Oct,11,2015
88,Tuesday,Oct,13,2015
89,Thursday,Oct,8,2015
90,Friday,Oct,2,2015
91,Wednesday,Sep,30,2015
92,Thursday,Oct,1,2015
93,Wednesday,Sep,23,2015
94,Monday,Sep,28,2015
95,Monday,Oct,5,2015
96,Wednesday,Oct,7,2015
97,Friday,Sep,18,2015
98,Sunday,Sep,27,2015
99,Thursday,Sep,17,2015
100,Monday,Sep,21,2015
101,Friday,Sep,11,2015
102,Saturday,Sep,19,2015
103,Friday,Sep,25,2015
104,Thursday,Sep,24,2015
105,Monday,Sep,14,2015
106,Tuesday,Sep,8,2015
107,Tuesday,Sep,15,2015
108,Sunday,Sep,6,2015
109,Sunday,Sep,20,2015
110,Tuesday,Sep,1,2015
111,Tuesday,Sep,22,2015
112,Wednesday,Sep,16,2015
113,Monday,Sep,7,2015
114,Sunday,Sep,13,2015
115,Sunday,Aug,30,2015
116,Saturday,Sep,5,2015
117,Thursday,Aug,27,2015
118,Wednesday,Sep,9,2015
119,Wednesday,Sep,2,2015
120,Monday,Aug,31,2015
121,Saturday,Sep,12,2015
122,Thursday,Sep,10,2015
123,Thursday,Sep,3,2015
124,Friday,Sep,4,2015
125,Saturday,Aug,22,2015
126,Monday,Aug,24,2015
127,Saturday,Aug,29,2015
128,Monday,Aug,17,2015
129,Tuesday,Aug,25,2015
130,Friday,Aug,28,2015
131,Saturday,Aug,15,2015
132,Thursday,Aug,20,2015
133,Thursday,Aug,13,2015
134,Sunday,Aug,23,2015
135,Saturday,Aug,8,2015
136,Wednesday,Aug,26,2015
137,Friday,Aug,7,2015
138,Tuesday,Aug,18,2015
139,Friday,Aug,21,2015
140,Sunday,Aug,16,2015
