Offense_ID,Offense,Classification
0,THEFT-OVER $500,
1,THEFT-$500 AND UNDER,
2,THEFT-DELIVERY CONTAINER THEFT,
3,ASSAULT-AGGRAVATED: OTHER DANG WEAPON,
4,ASSAULT-SIMPLE,
5,BATTERY-SIMPLE,
6,ROBBERY-AGGRAVATED VEHICULAR HIJACKING,
7,ROBBERY-STRONGARM - NO WEAPON,
8,BATTERY-AGGRAVATED: OTHER DANG WEAPON,
9,WEAPONS VIOLATION-UNLAWFUL POSS OF HANDGUN,
10,WEAPONS VIOLATION-UNLAWFUL USE OTHER DANG WEAPON,
11,ROBBERY-VEHICULAR HIJACKING,
12,ASSAULT-AGGRAVATED: HANDGUN,
13,BATTERY-AGG PO HANDS NO/MIN INJURY,
14,ASSAULT-PRO EMP HANDS NO/MIN INJURY,
15,SEX OFFENSE-PUBLIC INDECENCY,
16,ROBBERY-ARMED: HANDGUN,
17,BATTERY-AGGRAVATED: HANDGUN,
18,THEFT-PURSE-SNATCHING,
19,WEAPONS VIOLATION-UNLAWFUL USE/SALE AIR RIFLE,
20,ROBBERY-ARMED: OTHER DANGEROUS WEAPON,
21,ASSAULT-AGGRAVATED PO: OTHER DANG WEAP,
22,ROBBERY-ARMED:KNIFE/CUTTING INSTRUMENT,
23,BATTERY-DOMESTIC BATTERY SIMPLE,
24,BATTERY-AGG PRO.EMP: OTHER DANG WEAPON,
25,THEFT-ATTEMPT THEFT,
26,BATTERY-AGGRAVATED:KNIFE/CUTTING INSTR,
27,WEAPONS VIOLATION-RECKLESS FIREARM DISCHARGE,
28,ASSAULT-AGG PO HANDS NO/MIN INJURY,
29,ROBBERY-ATTEMPT: ARMED-HANDGUN,
30,CRIM SEXUAL ASSAULT-NON-AGGRAVATED,
31,ASSAULT-AGG PRO.EMP: HANDGUN,
32,WEAPONS VIOLATION-UNLAWFUL USE OTHER FIREARM,
33,OFFENSE INVOLVING CHILDREN-OTHER OFFENSE,
34,ASSAULT-AGGRAVATED:KNIFE/CUTTING INSTR,
35,THEFT-POCKET-PICKING,
36,BATTERY-AGG: HANDS/FIST/FEET NO/MINOR INJURY,
37,ROBBERY-AGGRAVATED,
