Date_ID,Day of Week,Month,Day,Year
0,2013-06-25,Jun,25,2013
1,2013-07-17,Jul,17,2013
2,2013-05-17,May,17,2013
3,2013-05-21,May,21,2013
4,2013-06-19,Jun,19,2013
5,2013-08-09,Aug,9,2013
6,2013-07-14,Jul,14,2013
7,2012-11-14,Nov,14,2012
8,2012-09-14,Sep,14,2012
9,2013-01-20,Jan,20,2013
10,2013-07-12,Jul,12,2013
11,2013-06-15,Jun,15,2013
12,2013-08-01,Aug,1,2013
13,2013-01-23,Jan,23,2013
14,2013-08-07,Aug,7,2013
15,2012-10-18,Oct,18,2012
16,2012-10-12,Oct,12,2012
17,2012-10-19,Oct,19,2012
18,2013-06-21,Jun,21,2013
19,2013-08-13,Aug,13,2013
20,2013-01-17,Jan,17,2013
21,2013-06-13,Jun,13,2013
22,2013-06-13,Jun,13,2013
23,2013-01-18,Jan,18,2013
24,2013-06-21,Jun,21,2013
25,2013-05-08,May,8,2013
26,2013-05-07,May,7,2013
27,2012-10-22,Oct,22,2012
28,2012-10-23,Oct,23,2012
29,2012-10-20,Oct,20,2012
30,2012-10-21,Oct,21,2012
31,2012-12-24,Dec,24,2012
32,2012-12-25,Dec,25,2012
33,2012-12-23,Dec,23,2012
34,2012-12-23,Dec,23,2012
35,2013-07-21,Jul,21,2013
36,2013-01-21,Jan,21,2013
37,2013-07-19,Jul,19,2013
38,2013-08-05,Aug,5,2013
39,2012-09-03,Sep,3,2012
40,2013-05-13,May,13,2013
41,2013-05-16,May,16,2013
42,2013-07-18,Jul,18,2013
43,2013-03-11,Mar,11,2013
44,2013-08-06,Aug,6,2013
45,2012-11-10,Nov,10,2012
46,2013-07-10,Jul,10,2013
47,2013-07-15,Jul,15,2013
48,2012-10-27,Oct,27,2012
49,2012-10-28,Oct,28,2012
50,2012-10-17,Oct,17,2012
51,2012-10-26,Oct,26,2012
52,2013-06-28,Jun,28,2013
53,2013-06-27,Jun,27,2013
54,2013-04-01,Apr,1,2013
55,2012-10-25,Oct,25,2012
56,2012-11-18,Nov,18,2012
57,2012-11-15,Nov,15,2012
58,2012-11-01,Nov,1,2012
59,2012-11-19,Nov,19,2012
60,2012-11-25,Nov,25,2012
61,2012-11-28,Nov,28,2012
62,2012-11-27,Nov,27,2012
63,2012-12-26,Dec,26,2012
64,2013-07-16,Jul,16,2013
65,2012-12-29,Dec,29,2012
66,2012-10-15,Oct,15,2012
67,2015-03-19,Mar,19,2015
68,2015-03-20,Mar,20,2015
69,2015-01-21,Jan,21,2015
70,2015-01-10,Jan,10,2015
71,2015-01-13,Jan,13,2015
72,2015-03-22,Mar,22,2015
73,2015-01-28,Jan,28,2015
74,2015-03-21,Mar,21,2015
75,2015-01-27,Jan,27,2015
76,2015-02-28,Feb,28,2015
77,2013-01-18,Jan,18,2013
78,2013-06-22,Jun,22,2013
79,2015-05-11,May,11,2015
80,2015-01-08,Jan,8,2015
81,2015-02-25,Feb,25,2015
82,2015-05-13,May,13,2015
83,2015-06-05,Jun,5,2015
84,2015-05-23,May,23,2015
85,2015-05-06,May,6,2015
86,2015-01-09,Jan,9,2015
87,2015-05-11,May,11,2015
88,2015-02-27,Feb,27,2015
89,2015-05-12,May,12,2015
