Offense_ID,Offense,Classification
0,larceny,ROBBERY
1,larceny,ROBBERY
2,larceny,ROBBERY
3,larceny,ROBBERY
4,larceny,ROBBERY
5,robbery,ROBBERY
6,larceny,ROBBERY
7,larceny,ROBBERY
8,larceny,ROBBERY
9,larceny,ROBBERY
10,larceny,ROBBERY
11,larceny,ROBBERY
12,aggravated-assault,ROBBERY
13,larceny,ROBBERY
14,robbery,ROBBERY
15,larceny,ROBBERY
16,larceny,ROBBERY
17,larceny,ROBBERY
18,larceny,ROBBERY
19,larceny,ROBBERY
20,larceny,ROBBERY
21,larceny,ROBBERY
22,larceny,ROBBERY
23,larceny,ROBBERY
24,larceny,ROBBERY
25,larceny,ROBBERY
26,aggravated-assault,ASSAULT
27,robbery,ROBBERY
28,larceny,ROBBERY
29,aggravated-assault,ASSAULT
30,aggravated-assault,ROBBERY
31,larceny,ROBBERY
32,larceny,ROBBERY
33,aggravated-assault,ASSAULT
34,larceny,ROBBERY
35,larceny,ROBBERY
36,larceny,ROBBERY
37,larceny,ROBBERY
38,larceny,ROBBERY
39,larceny,ROBBERY
40,larceny,ROBBERY
41,larceny,ROBBERY
42,larceny,ROBBERY
43,larceny,ROBBERY
44,larceny,ROBBERY
45,larceny,ROBBERY
46,larceny,ROBBERY
47,larceny,ROBBERY
48,larceny,ROBBERY
49,robbery,ROBBERY
50,aggravated-assault,ROBBERY
51,larceny,ROBBERY
52,aggravated-assault,ASSAULT
53,larceny,ROBBERY
54,larceny,ROBBERY
55,larceny,ROBBERY
56,larceny,ROBBERY
57,larceny,ROBBERY
58,larceny,ROBBERY
59,larceny,ROBBERY
60,larceny,ROBBERY
61,larceny,ROBBERY
62,larceny,ROBBERY
63,larceny,ROBBERY
64,larceny,ROBBERY
65,larceny,ROBBERY
66,larceny,ROBBERY
67,larceny,ROBBERY
68,larceny,ROBBERY
69,larceny,ROBBERY
70,larceny,ROBBERY
71,larceny,ROBBERY
72,larceny,ROBBERY
73,larceny,ROBBERY
74,aggravated-assault,ROBBERY
75,larceny,ROBBERY
76,larceny,ROBBERY
77,larceny,ROBBERY
78,robbery,ROBBERY
79,robbery,ROBBERY
80,larceny,ROBBERY
81,larceny,ROBBERY
82,larceny,ROBBERY
83,larceny,ROBBERY
84,larceny,ROBBERY
85,larceny,ROBBERY
86,larceny,ROBBERY
87,larceny,ROBBERY
88,larceny,ROBBERY
89,larceny,ROBBERY
90,larceny,ROBBERY
91,larceny,ROBBERY
92,larceny,ROBBERY
93,aggravated-assault,ROBBERY
94,larceny,ROBBERY
95,larceny,ROBBERY
96,larceny,ROBBERY
97,larceny,ROBBERY
98,larceny,ROBBERY
99,larceny,ROBBERY
100,larceny,ROBBERY
101,larceny,ROBBERY
102,larceny,ROBBERY
103,larceny,ROBBERY
104,larceny,ROBBERY
105,larceny,ROBBERY
106,larceny,ROBBERY
107,larceny,ROBBERY
108,larceny,ROBBERY
109,larceny,ROBBERY
110,aggravated-assault,ASSAULT
111,robbery,ROBBERY
112,aggravated-assault,ROBBERY
113,larceny,ROBBERY
114,larceny,ROBBERY
115,larceny,ROBBERY
116,larceny,ROBBERY
117,larceny,ROBBERY
118,larceny,ROBBERY
119,larceny,ROBBERY
120,robbery,ROBBERY
121,aggravated-assault,ASSAULT
122,larceny,ROBBERY
123,larceny,ROBBERY
124,robbery,ROBBERY
125,larceny,ROBBERY
126,larceny,ROBBERY
127,larceny,ROBBERY
128,aggravated-assault,ASSAULT
129,larceny,ROBBERY
130,aggravated-assault,ROBBERY
131,larceny,ROBBERY
132,larceny,ROBBERY
133,aggravated-assault,ROBBERY
134,larceny,ROBBERY
135,larceny,ROBBERY
136,larceny,ROBBERY
137,aggravated-assault,ASSAULT
138,larceny,ROBBERY
139,larceny,ROBBERY
140,larceny,ROBBERY
141,aggravated-assault,ASSAULT
