Time_ID,Hour,Minute
0,1200,0
1,1100,0
2,1700,1
3,200,0
4,1000,3
5,1600,4
6,1700,0
7,100,2
8,200,3
9,300,4
10,500,5
11,600,0
12,600,1
13,2100,0
14,1900,4
15,1400,0
16,600,5
17,2000,0
18,1600,0
19,2200,3
20,1300,1
21,1400,2
22,1400,4
23,1800,5
24,2100,5
25,1700,3
26,1700,2
27,1600,3
28,1800,0
29,900,4
30,1500,4
31,2300,1
32,2300,2
33,0,5
34,100,3
35,2100,4
36,1300,5
37,900,5
38,1500,0
39,1600,1
40,1100,1
41,1500,3
42,800,1
43,1500,5
44,0,0
45,800,0
46,2000,4
47,1300,4
48,1900,3
49,2000,1
50,1200,5
51,2000,2
52,2100,3
53,2200,2
54,2200,4
55,200,1
56,1800,2
57,1800,4
58,2200,0
59,2300,4
60,0,2
61,1800,3
62,800,2
63,400,3
64,2200,1
65,2200,5
66,1000,5
67,200,4
68,0,3
69,100,5
70,500,1
71,1700,5
72,1900,1
73,1900,2
74,300,5
75,700,3
76,900,3
77,1200,4
78,1300,0
79,2000,5
80,2300,3
81,1800,1
82,1900,0
83,1200,1
84,700,5
85,2000,3
86,1100,2
87,1300,3
88,1200,2
89,1600,5
90,700,1
91,0,4
92,900,1
93,900,0
94,600,3
95,100,4
96,400,4
97,1000,2
98,1400,3
99,300,0
100,2300,0
101,1500,1
102,1000,0
103,1000,1
104,1700,4
105,1200,3
106,300,3
107,2100,1
108,200,2
109,1100,4
110,500,0
111,700,4
112,1500,2
113,1900,5
114,1000,4
115,1100,3
116,600,4
117,1300,2
118,0,1
119,900,2
120,300,2
121,1100,5
122,800,5
123,2100,2
124,400,1
125,2300,5
126,1600,2
127,800,3
128,100,1
129,1400,5
130,400,0
131,300,1
132,100,0
133,1400,1
134,700,2
135,500,2
136,500,4
137,400,2
138,500,3
139,600,2
140,700,0
141,200,5
142,800,4
143,400,5
