Time_ID,Hour,Minute
0,0200,51
1,0700,23
2,0200,33
3,1900,28
4,1900,38
5,1500,00
6,1900,34
7,2200,05
8,1700,30
9,0200,25
10,1300,05
11,1000,06
12,1500,28
13,2200,20
14,1800,54
15,1700,11
16,1100,17
17,0800,02
18,2100,34
19,2200,15
20,2200,47
21,0500,30
22,0500,40
23,2100,37
24,1400,43
25,2300,19
26,2300,34
27,1400,45
28,1200,45
29,1400,30
30,0400,00
31,2300,16
32,2300,00
33,0800,30
34,0000,03
35,0100,45
36,0900,12
37,1300,57
38,1500,20
39,1500,26
40,0200,20
41,1800,30
42,2200,48
43,1600,39
44,1300,44
45,1700,00
46,1600,42
47,0000,45
48,2200,02
49,1400,51
50,0100,15
51,2000,26
52,2000,15
53,0700,43
54,1500,55
55,0200,00
56,0300,39
57,0600,49
58,0100,25
59,1300,59
60,1400,47
61,0100,48
62,1400,24
63,0100,40
64,1700,19
65,1200,15
66,0300,27
67,0300,20
68,1700,09
69,2100,01
70,0300,05
71,1100,28
72,1000,22
73,1700,58
74,2200,40
75,1600,20
76,2000,00
77,0800,26
78,1900,09
79,0400,25
80,1400,29
81,1900,14
82,1300,01
83,0100,00
84,1700,45
85,2000,27
86,1200,33
87,1800,15
88,1400,23
89,0200,22
90,1200,43
91,0200,59
92,0400,14
93,1200,01
94,2100,06
95,2200,55
96,2300,42
97,0900,42
98,0400,05
99,0300,45
100,1800,27
101,1200,16
102,0900,40
103,0300,47
104,1900,22
105,1300,29
106,2000,58
107,0200,19
108,2100,28
109,2300,17
110,1500,30
111,2100,48
112,1800,32
113,2300,20
114,0200,38
115,0300,41
116,0300,58
117,1900,37
118,0600,46
119,2100,40
120,0400,33
121,2100,47
122,2200,52
123,1800,49
124,0100,18
125,0400,15
126,0100,05
127,1200,35
128,0600,20
129,0000,02
130,0200,28
131,1900,26
132,0000,05
133,0000,30
134,0000,21
135,2200,46
136,2200,25
137,0500,08
138,2300,04
139,0300,30
140,0500,00
141,1300,20
142,0900,35
143,2000,30
144,0200,31
145,1700,42
146,2300,18
147,2000,52
148,0000,50
149,2000,55
150,2100,18
151,0200,29
152,2100,30
153,0000,48
154,0700,01
155,0300,10
156,0800,40
157,1600,07
158,1600,32
159,0900,11
160,0500,11
161,0100,39
162,0100,30
163,0100,19
164,1800,29
165,2000,42
166,2000,14
167,0400,46
168,0700,49
169,0200,50
170,0300,06
171,0400,53
172,0600,17
173,0800,10
174,1700,07
175,0100,23
176,0600,05
177,0700,30
178,2100,55
179,0400,03
180,1100,05
181,1300,19
182,0100,54
183,2200,00
184,2000,46
185,2000,53
186,0000,12
187,0500,07
188,1600,40
189,2000,24
190,0200,05
