Date_ID,Day of Week,Month,Day,Year
0,Sunday,Jan,1,2012
1,Monday,Jan,2,2012
2,Tuesday,Jan,3,2012
3,Wednesday,Jan,4,2012
4,Thursday,Jan,5,2012
5,Friday,Jan,6,2012
6,Saturday,Jan,7,2012
7,Sunday,Jan,8,2012
8,Monday,Jan,9,2012
9,Tuesday,Jan,10,2012
10,Wednesday,Jan,11,2012
11,Thursday,Jan,12,2012
12,Friday,Jan,13,2012
13,Saturday,Jan,14,2012
14,Sunday,Jan,15,2012
15,Monday,Jan,16,2012
16,Tuesday,Jan,17,2012
17,Wednesday,Jan,18,2012
18,Thursday,Jan,19,2012
19,Friday,Jan,20,2012
20,Saturday,Jan,21,2012
21,Sunday,Jan,22,2012
22,Monday,Jan,23,2012
23,Tuesday,Jan,24,2012
24,Wednesday,Jan,25,2012
25,Thursday,Jan,26,2012
26,Friday,Jan,27,2012
27,Saturday,Jan,28,2012
28,Sunday,Jan,29,2012
29,Monday,Jan,30,2012
30,Tuesday,Jan,31,2012
31,Wednesday,Feb,1,2012
32,Thursday,Feb,2,2012
33,Friday,Feb,3,2012
34,Saturday,Feb,4,2012
35,Sunday,Feb,5,2012
36,Monday,Feb,6,2012
37,Tuesday,Feb,7,2012
38,Wednesday,Feb,8,2012
39,Thursday,Feb,9,2012
40,Friday,Feb,10,2012
41,Saturday,Feb,11,2012
42,Sunday,Feb,12,2012
43,Monday,Feb,13,2012
44,Tuesday,Feb,14,2012
45,Wednesday,Feb,15,2012
46,Thursday,Feb,16,2012
47,Friday,Feb,17,2012
48,Saturday,Feb,18,2012
49,Sunday,Feb,19,2012
50,Monday,Feb,20,2012
51,Tuesday,Feb,21,2012
52,Wednesday,Feb,22,2012
53,Thursday,Feb,23,2012
54,Friday,Feb,24,2012
55,Saturday,Feb,25,2012
56,Sunday,Feb,26,2012
57,Monday,Feb,27,2012
58,Tuesday,Feb,28,2012
59,Wednesday,Feb,29,2012
60,Thursday,Mar,1,2012
61,Friday,Mar,2,2012
62,Saturday,Mar,3,2012
63,Sunday,Mar,4,2012
64,Monday,Mar,5,2012
65,Tuesday,Mar,6,2012
66,Wednesday,Mar,7,2012
67,Thursday,Mar,8,2012
68,Friday,Mar,9,2012
69,Saturday,Mar,10,2012
70,Sunday,Mar,11,2012
71,Monday,Mar,12,2012
72,Tuesday,Mar,13,2012
73,Wednesday,Mar,14,2012
74,Thursday,Mar,15,2012
75,Friday,Mar,16,2012
76,Saturday,Mar,17,2012
77,Sunday,Mar,18,2012
78,Monday,Mar,19,2012
79,Tuesday,Mar,20,2012
80,Wednesday,Mar,21,2012
81,Thursday,Mar,22,2012
82,Friday,Mar,23,2012
83,Saturday,Mar,24,2012
84,Sunday,Mar,25,2012
85,Monday,Mar,26,2012
86,Tuesday,Mar,27,2012
87,Wednesday,Mar,28,2012
88,Thursday,Mar,29,2012
89,Friday,Mar,30,2012
90,Saturday,Mar,31,2012
91,Sunday,Apr,1,2012
92,Monday,Apr,2,2012
93,Tuesday,Apr,3,2012
94,Wednesday,Apr,4,2012
95,Thursday,Apr,5,2012
96,Friday,Apr,6,2012
97,Saturday,Apr,7,2012
98,Sunday,Apr,8,2012
99,Monday,Apr,9,2012
100,Tuesday,Apr,10,2012
101,Wednesday,Apr,11,2012
102,Thursday,Apr,12,2012
103,Friday,Apr,13,2012
104,Saturday,Apr,14,2012
105,Sunday,Apr,15,2012
106,Monday,Apr,16,2012
107,Tuesday,Apr,17,2012
108,Wednesday,Apr,18,2012
109,Thursday,Apr,19,2012
110,Friday,Apr,20,2012
111,Saturday,Apr,21,2012
112,Sunday,Apr,22,2012
113,Monday,Apr,23,2012
114,Tuesday,Apr,24,2012
115,Wednesday,Apr,25,2012
116,Thursday,Apr,26,2012
117,Friday,Apr,27,2012
118,Saturday,Apr,28,2012
119,Sunday,Apr,29,2012
120,Monday,Apr,30,2012
121,Tuesday,May,1,2012
122,Wednesday,May,2,2012
123,Thursday,May,3,2012
124,Friday,May,4,2012
125,Saturday,May,5,2012
126,Sunday,May,6,2012
127,Monday,May,7,2012
128,Tuesday,May,8,2012
129,Wednesday,May,9,2012
130,Thursday,May,10,2012
131,Friday,May,11,2012
132,Saturday,May,12,2012
133,Sunday,May,13,2012
134,Monday,May,14,2012
135,Tuesday,May,15,2012
136,Wednesday,May,16,2012
137,Thursday,May,17,2012
138,Friday,May,18,2012
139,Saturday,May,19,2012
140,Sunday,May,20,2012
141,Monday,May,21,2012
142,Tuesday,May,22,2012
143,Wednesday,May,23,2012
144,Thursday,May,24,2012
145,Friday,May,25,2012
146,Saturday,May,26,2012
147,Sunday,May,27,2012
148,Monday,May,28,2012
149,Tuesday,May,29,2012
150,Wednesday,May,30,2012
151,Thursday,May,31,2012
152,Friday,Jun,1,2012
153,Saturday,Jun,2,2012
154,Sunday,Jun,3,2012
155,Monday,Jun,4,2012
156,Tuesday,Jun,5,2012
157,Wednesday,Jun,6,2012
158,Thursday,Jun,7,2012
159,Friday,Jun,8,2012
160,Saturday,Jun,9,2012
161,Sunday,Jun,10,2012
162,Monday,Jun,11,2012
163,Tuesday,Jun,12,2012
164,Wednesday,Jun,13,2012
165,Thursday,Jun,14,2012
166,Friday,Jun,15,2012
167,Saturday,Jun,16,2012
168,Sunday,Jun,17,2012
169,Monday,Jun,18,2012
170,Tuesday,Jun,19,2012
171,Wednesday,Jun,20,2012
172,Thursday,Jun,21,2012
173,Friday,Jun,22,2012
174,Saturday,Jun,23,2012
175,Sunday,Jun,24,2012
176,Monday,Jun,25,2012
177,Tuesday,Jun,26,2012
178,Wednesday,Jun,27,2012
179,Thursday,Jun,28,2012
180,Friday,Jun,29,2012
181,Saturday,Jun,30,2012
182,Sunday,Jul,1,2012
183,Monday,Jul,2,2012
184,Tuesday,Jul,3,2012
185,Wednesday,Jul,4,2012
186,Thursday,Jul,5,2012
187,Friday,Jul,6,2012
188,Saturday,Jul,7,2012
189,Sunday,Jul,8,2012
190,Monday,Jul,9,2012
191,Tuesday,Jul,10,2012
192,Wednesday,Jul,11,2012
193,Thursday,Jul,12,2012
194,Friday,Jul,13,2012
195,Saturday,Jul,14,2012
196,Sunday,Jul,15,2012
197,Monday,Jul,16,2012
198,Tuesday,Jul,17,2012
199,Wednesday,Jul,18,2012
200,Thursday,Jul,19,2012
201,Friday,Jul,20,2012
202,Saturday,Jul,21,2012
203,Sunday,Jul,22,2012
204,Monday,Jul,23,2012
205,Tuesday,Jul,24,2012
206,Wednesday,Jul,25,2012
207,Thursday,Jul,26,2012
208,Friday,Jul,27,2012
209,Saturday,Jul,28,2012
210,Sunday,Jul,29,2012
211,Monday,Jul,30,2012
212,Tuesday,Jul,31,2012
213,Wednesday,Aug,1,2012
214,Thursday,Aug,2,2012
215,Friday,Aug,3,2012
216,Saturday,Aug,4,2012
217,Sunday,Aug,5,2012
218,Monday,Aug,6,2012
219,Tuesday,Aug,7,2012
220,Wednesday,Aug,8,2012
221,Thursday,Aug,9,2012
222,Friday,Aug,10,2012
223,Saturday,Aug,11,2012
224,Sunday,Aug,12,2012
225,Monday,Aug,13,2012
226,Tuesday,Aug,14,2012
227,Wednesday,Aug,15,2012
228,Thursday,Aug,16,2012
229,Friday,Aug,17,2012
230,Saturday,Aug,18,2012
231,Sunday,Aug,19,2012
232,Monday,Aug,20,2012
233,Tuesday,Aug,21,2012
234,Wednesday,Aug,22,2012
235,Thursday,Aug,23,2012
236,Friday,Aug,24,2012
237,Saturday,Aug,25,2012
238,Sunday,Aug,26,2012
239,Monday,Aug,27,2012
240,Tuesday,Aug,28,2012
241,Wednesday,Aug,29,2012
242,Thursday,Aug,30,2012
243,Friday,Aug,31,2012
244,Saturday,Sep,1,2012
245,Sunday,Sep,2,2012
246,Monday,Sep,3,2012
247,Tuesday,Sep,4,2012
248,Wednesday,Sep,5,2012
249,Thursday,Sep,6,2012
250,Friday,Sep,7,2012
251,Saturday,Sep,8,2012
252,Sunday,Sep,9,2012
253,Monday,Sep,10,2012
254,Tuesday,Sep,11,2012
255,Wednesday,Sep,12,2012
256,Thursday,Sep,13,2012
257,Friday,Sep,14,2012
258,Saturday,Sep,15,2012
259,Sunday,Sep,16,2012
260,Monday,Sep,17,2012
261,Tuesday,Sep,18,2012
262,Wednesday,Sep,19,2012
263,Thursday,Sep,20,2012
264,Friday,Sep,21,2012
265,Saturday,Sep,22,2012
266,Sunday,Sep,23,2012
267,Monday,Sep,24,2012
268,Tuesday,Sep,25,2012
269,Wednesday,Sep,26,2012
270,Thursday,Sep,27,2012
271,Friday,Sep,28,2012
272,Saturday,Sep,29,2012
273,Sunday,Sep,30,2012
274,Monday,Oct,1,2012
275,Tuesday,Oct,2,2012
276,Wednesday,Oct,3,2012
277,Thursday,Oct,4,2012
278,Friday,Oct,5,2012
279,Saturday,Oct,6,2012
280,Sunday,Oct,7,2012
281,Monday,Oct,8,2012
282,Tuesday,Oct,9,2012
283,Wednesday,Oct,10,2012
284,Thursday,Oct,11,2012
285,Friday,Oct,12,2012
286,Saturday,Oct,13,2012
287,Sunday,Oct,14,2012
288,Monday,Oct,15,2012
289,Tuesday,Oct,16,2012
290,Wednesday,Oct,17,2012
291,Thursday,Oct,18,2012
292,Friday,Oct,19,2012
293,Saturday,Oct,20,2012
294,Sunday,Oct,21,2012
295,Monday,Oct,22,2012
296,Tuesday,Oct,23,2012
297,Wednesday,Oct,24,2012
298,Thursday,Oct,25,2012
299,Friday,Oct,26,2012
300,Saturday,Oct,27,2012
301,Sunday,Oct,28,2012
302,Monday,Oct,29,2012
303,Tuesday,Oct,30,2012
304,Wednesday,Oct,31,2012
305,Thursday,Nov,1,2012
306,Friday,Nov,2,2012
307,Saturday,Nov,3,2012
308,Sunday,Nov,4,2012
309,Monday,Nov,5,2012
310,Tuesday,Nov,6,2012
311,Wednesday,Nov,7,2012
312,Thursday,Nov,8,2012
313,Friday,Nov,9,2012
314,Saturday,Nov,10,2012
315,Sunday,Nov,11,2012
316,Monday,Nov,12,2012
317,Tuesday,Nov,13,2012
318,Wednesday,Nov,14,2012
319,Thursday,Nov,15,2012
320,Friday,Nov,16,2012
321,Saturday,Nov,17,2012
322,Sunday,Nov,18,2012
323,Monday,Nov,19,2012
324,Tuesday,Nov,20,2012
325,Wednesday,Nov,21,2012
326,Thursday,Nov,22,2012
327,Friday,Nov,23,2012
328,Saturday,Nov,24,2012
329,Sunday,Nov,25,2012
330,Monday,Nov,26,2012
331,Tuesday,Nov,27,2012
332,Wednesday,Nov,28,2012
333,Thursday,Nov,29,2012
334,Friday,Nov,30,2012
335,Saturday,Dec,1,2012
336,Sunday,Dec,2,2012
337,Monday,Dec,3,2012
338,Tuesday,Dec,4,2012
339,Wednesday,Dec,5,2012
340,Thursday,Dec,6,2012
341,Friday,Dec,7,2012
342,Saturday,Dec,8,2012
343,Sunday,Dec,9,2012
344,Monday,Dec,10,2012
345,Tuesday,Dec,11,2012
346,Wednesday,Dec,12,2012
347,Thursday,Dec,13,2012
348,Friday,Dec,14,2012
349,Saturday,Dec,15,2012
350,Sunday,Dec,16,2012
351,Monday,Dec,17,2012
352,Tuesday,Dec,18,2012
353,Wednesday,Dec,19,2012
354,Thursday,Dec,20,2012
355,Friday,Dec,21,2012
356,Saturday,Dec,22,2012
357,Sunday,Dec,23,2012
358,Monday,Dec,24,2012
359,Tuesday,Dec,25,2012
360,Wednesday,Dec,26,2012
361,Thursday,Dec,27,2012
362,Friday,Dec,28,2012
363,Saturday,Dec,29,2012
364,Sunday,Dec,30,2012
365,Monday,Dec,31,2012
366,Tuesday,Jan,1,2013
367,Wednesday,Jan,2,2013
368,Thursday,Jan,3,2013
369,Friday,Jan,4,2013
370,Saturday,Jan,5,2013
371,Sunday,Jan,6,2013
372,Monday,Jan,7,2013
373,Tuesday,Jan,8,2013
374,Wednesday,Jan,9,2013
375,Thursday,Jan,10,2013
376,Friday,Jan,11,2013
377,Saturday,Jan,12,2013
378,Sunday,Jan,13,2013
379,Monday,Jan,14,2013
380,Tuesday,Jan,15,2013
381,Wednesday,Jan,16,2013
382,Thursday,Jan,17,2013
383,Friday,Jan,18,2013
384,Saturday,Jan,19,2013
385,Sunday,Jan,20,2013
386,Monday,Jan,21,2013
387,Tuesday,Jan,22,2013
388,Wednesday,Jan,23,2013
389,Thursday,Jan,24,2013
390,Friday,Jan,25,2013
391,Saturday,Jan,26,2013
392,Sunday,Jan,27,2013
393,Monday,Jan,28,2013
394,Tuesday,Jan,29,2013
395,Wednesday,Jan,30,2013
396,Thursday,Jan,31,2013
397,Friday,Feb,1,2013
398,Saturday,Feb,2,2013
399,Sunday,Feb,3,2013
400,Monday,Feb,4,2013
401,Tuesday,Feb,5,2013
402,Wednesday,Feb,6,2013
403,Thursday,Feb,7,2013
404,Friday,Feb,8,2013
405,Saturday,Feb,9,2013
406,Sunday,Feb,10,2013
407,Monday,Feb,11,2013
408,Tuesday,Feb,12,2013
409,Wednesday,Feb,13,2013
410,Thursday,Feb,14,2013
411,Friday,Feb,15,2013
412,Saturday,Feb,16,2013
413,Sunday,Feb,17,2013
414,Monday,Feb,18,2013
415,Tuesday,Feb,19,2013
416,Wednesday,Feb,20,2013
417,Thursday,Feb,21,2013
418,Friday,Feb,22,2013
419,Saturday,Feb,23,2013
420,Sunday,Feb,24,2013
421,Monday,Feb,25,2013
422,Tuesday,Feb,26,2013
423,Wednesday,Feb,27,2013
424,Thursday,Feb,28,2013
425,Friday,Mar,1,2013
426,Saturday,Mar,2,2013
427,Sunday,Mar,3,2013
428,Monday,Mar,4,2013
429,Tuesday,Mar,5,2013
430,Wednesday,Mar,6,2013
431,Thursday,Mar,7,2013
432,Friday,Mar,8,2013
433,Saturday,Mar,9,2013
434,Sunday,Mar,10,2013
435,Monday,Mar,11,2013
436,Tuesday,Mar,12,2013
437,Wednesday,Mar,13,2013
438,Thursday,Mar,14,2013
439,Friday,Mar,15,2013
440,Saturday,Mar,16,2013
441,Sunday,Mar,17,2013
442,Monday,Mar,18,2013
443,Tuesday,Mar,19,2013
444,Wednesday,Mar,20,2013
445,Thursday,Mar,21,2013
446,Friday,Mar,22,2013
447,Saturday,Mar,23,2013
448,Sunday,Mar,24,2013
