Time_ID,Hour,Minute
0,0,03
1,0,05
2,0,12
3,0,13
4,0,15
5,0,19
6,0,20
7,0,28
8,0,31
9,0,34
10,0,41
11,0,45
12,0,48
13,0,54
14,0,55
15,0,56
16,0,58
17,0,59
18,100,07
19,100,10
20,100,11
21,100,16
22,100,26
23,100,27
24,100,28
25,100,29
26,100,30
27,100,37
28,100,38
29,100,39
30,100,40
31,100,41
32,100,42
33,100,45
34,100,46
35,100,49
36,100,54
37,100,56
38,100,57
39,100,58
40,100,59
41,200,05
42,200,14
43,200,20
44,200,22
45,200,24
46,200,31
47,200,33
48,200,37
49,200,38
50,200,42
51,200,52
52,200,53
53,200,58
54,200,59
55,300,01
56,300,05
57,300,07
58,300,12
59,300,17
60,300,19
61,300,26
62,300,27
63,300,33
64,300,38
65,300,39
66,300,58
67,400,04
68,400,16
69,400,24
70,400,29
71,400,31
72,400,41
73,400,43
74,400,51
75,500,00
76,500,01
77,500,02
78,500,08
79,500,16
80,500,32
81,500,33
82,500,35
83,500,41
84,500,42
85,500,48
86,500,52
87,500,59
88,600,01
89,600,05
90,600,17
91,600,19
92,600,27
93,800,06
94,800,09
95,800,10
96,800,15
97,800,25
98,800,35
99,800,37
100,800,55
101,800,57
102,800,58
103,800,59
104,900,02
105,900,04
106,900,09
107,900,15
108,900,36
109,900,46
110,900,55
111,1000,0
112,1000,1
113,1000,3
114,1000,4
115,1100,0
116,1100,1
117,1100,2
118,1100,4
119,1100,5
120,1200,0
121,1200,1
122,1200,2
123,1200,3
124,1200,4
125,1200,5
126,1300,1
127,1300,2
128,1300,3
129,1300,4
130,1300,5
131,1400,0
132,1400,1
133,1400,2
134,1400,3
135,1400,4
136,1400,5
137,1500,0
138,1500,1
139,1500,2
140,1500,3
141,1500,5
142,1600,0
143,1600,1
144,1600,2
145,1600,3
146,1600,4
147,1600,5
148,1700,0
149,1700,1
150,1700,2
151,1700,3
152,1700,4
153,1700,5
154,1800,0
155,1800,1
156,1800,2
157,1800,3
158,1800,4
159,1800,5
160,1900,0
161,1900,1
162,1900,2
163,1900,3
164,1900,4
165,1900,5
166,2000,0
167,2000,1
168,2000,3
169,2000,4
170,2000,5
171,2100,0
172,2100,1
173,2100,2
174,2100,3
175,2100,4
176,2100,5
177,2200,0
178,2200,1
179,2200,3
180,2200,4
181,2200,5
182,2300,0
183,2300,1
184,2300,2
185,2300,3
186,2300,5
187,0,00
188,0,02
189,0,09
190,0,27
191,0,33
192,0,36
193,0,38
194,0,40
195,0,49
196,100,00
197,100,44
198,200,01
199,200,15
200,200,16
201,200,19
202,200,35
203,200,46
204,200,48
205,200,50
206,200,51
207,300,16
208,400,07
209,400,14
210,400,17
211,400,30
212,400,33
213,400,35
214,400,53
215,500,05
216,500,43
217,600,10
218,700,57
219,800,01
220,800,30
221,800,32
222,800,52
223,900,11
224,900,13
225,900,22
226,900,24
227,900,31
228,900,41
229,900,42
230,900,49
231,1000,2
232,1000,5
233,1100,3
234,1300,0
235,1500,4
236,2000,2
237,0,11
238,0,21
239,0,52
240,100,01
241,100,02
242,100,08
243,100,15
244,200,28
245,200,44
246,200,54
247,300,00
248,400,48
249,600,12
250,600,26
251,600,50
252,700,26
253,700,32
254,700,46
255,700,49
256,700,52
257,800,08
258,800,18
259,800,31
260,800,34
261,800,39
262,800,44
263,800,45
264,800,48
265,800,49
266,800,53
267,900,01
268,900,07
269,900,19
270,900,21
271,900,29
272,900,30
273,900,33
274,900,38
275,900,45
276,900,47
277,900,57
278,2200,2
279,2300,4
280,0,24
281,0,25
282,0,50
283,200,03
284,200,07
285,200,12
286,200,41
287,300,03
288,300,25
289,300,43
290,600,15
291,600,55
292,600,59
293,700,20
294,700,40
295,700,43
296,700,50
297,700,51
298,800,03
299,800,24
300,800,26
301,800,29
302,800,40
303,800,41
304,800,47
305,900,00
306,900,03
307,900,08
308,900,28
309,900,32
310,900,34
311,900,35
312,900,48
313,900,56
314,900,58
315,0,46
316,100,22
317,100,48
318,200,36
319,300,14
320,400,02
321,400,19
