Date_ID,Day of Week,Month,Day,Year
0,Sunday,Jul,8,2012
1,Monday,Jul,9,2012
2,Tuesday,Jul,10,2012
3,Wednesday,Jul,11,2012
4,Thursday,Jul,12,2012
5,Friday,Jul,13,2012
6,Saturday,Jul,14,2012
7,Sunday,Jul,15,2012
8,Monday,Jul,16,2012
9,Tuesday,Jul,17,2012
10,Wednesday,Jul,18,2012
11,Thursday,Jul,19,2012
12,Friday,Jul,20,2012
13,Saturday,Jul,21,2012
14,Sunday,Jul,22,2012
15,Monday,Jul,23,2012
16,Tuesday,Jul,24,2012
17,Wednesday,Jul,25,2012
18,Thursday,Jul,26,2012
19,Friday,Jul,27,2012
20,Saturday,Jul,28,2012
21,Sunday,Jul,29,2012
22,Monday,Jul,30,2012
23,Tuesday,Jul,31,2012
24,Wednesday,Aug,1,2012
25,Thursday,Aug,2,2012
26,Friday,Aug,3,2012
27,Saturday,Aug,4,2012
28,Sunday,Aug,5,2012
29,Monday,Aug,6,2012
30,Tuesday,Aug,7,2012
31,Wednesday,Aug,8,2012
32,Thursday,Aug,9,2012
33,Friday,Aug,10,2012
34,Saturday,Aug,11,2012
35,Sunday,Aug,12,2012
36,Monday,Aug,13,2012
37,Tuesday,Aug,14,2012
38,Wednesday,Aug,15,2012
39,Thursday,Aug,16,2012
40,Friday,Aug,17,2012
41,Saturday,Aug,18,2012
42,Sunday,Aug,19,2012
43,Monday,Aug,20,2012
44,Tuesday,Aug,21,2012
45,Wednesday,Aug,22,2012
46,Thursday,Aug,23,2012
47,Friday,Aug,24,2012
48,Saturday,Aug,25,2012
49,Sunday,Aug,26,2012
50,Monday,Aug,27,2012
51,Tuesday,Aug,28,2012
52,Wednesday,Aug,29,2012
53,Thursday,Aug,30,2012
54,Friday,Aug,31,2012
55,Saturday,Sep,1,2012
56,Sunday,Sep,2,2012
57,Monday,Sep,3,2012
58,Tuesday,Sep,4,2012
59,Wednesday,Sep,5,2012
60,Thursday,Sep,6,2012
61,Friday,Sep,7,2012
62,Saturday,Sep,8,2012
63,Sunday,Sep,9,2012
64,Monday,Sep,10,2012
65,Tuesday,Sep,11,2012
66,Wednesday,Sep,12,2012
67,Thursday,Sep,13,2012
68,Friday,Sep,14,2012
69,Saturday,Sep,15,2012
70,Sunday,Sep,16,2012
71,Monday,Sep,17,2012
72,Tuesday,Sep,18,2012
73,Wednesday,Sep,19,2012
74,Thursday,Sep,20,2012
75,Friday,Sep,21,2012
76,Saturday,Sep,22,2012
77,Sunday,Sep,23,2012
78,Monday,Sep,24,2012
79,Tuesday,Sep,25,2012
80,Wednesday,Sep,26,2012
81,Thursday,Sep,27,2012
82,Friday,Sep,28,2012
83,Saturday,Sep,29,2012
84,Sunday,Sep,30,2012
85,Monday,Oct,1,2012
86,Tuesday,Oct,2,2012
87,Wednesday,Oct,3,2012
88,Thursday,Oct,4,2012
89,Friday,Oct,5,2012
90,Saturday,Oct,6,2012
91,Sunday,Oct,7,2012
92,Monday,Oct,8,2012
93,Tuesday,Oct,9,2012
94,Wednesday,Oct,10,2012
95,Thursday,Oct,11,2012
96,Friday,Oct,12,2012
97,Saturday,Oct,13,2012
98,Sunday,Oct,14,2012
99,Monday,Oct,15,2012
100,Tuesday,Oct,16,2012
101,Wednesday,Oct,17,2012
102,Thursday,Oct,18,2012
103,Friday,Oct,19,2012
104,Saturday,Oct,20,2012
105,Sunday,Oct,21,2012
106,Monday,Oct,22,2012
107,Tuesday,Oct,23,2012
108,Wednesday,Oct,24,2012
109,Thursday,Oct,25,2012
110,Friday,Oct,26,2012
111,Saturday,Oct,27,2012
112,Sunday,Oct,28,2012
113,Monday,Oct,29,2012
114,Tuesday,Oct,30,2012
115,Wednesday,Oct,31,2012
116,Thursday,Nov,1,2012
117,Friday,Nov,2,2012
118,Saturday,Nov,3,2012
119,Sunday,Nov,4,2012
120,Monday,Nov,5,2012
121,Tuesday,Nov,6,2012
122,Wednesday,Nov,7,2012
123,Thursday,Nov,8,2012
124,Friday,Nov,9,2012
125,Saturday,Nov,10,2012
126,Sunday,Nov,11,2012
127,Monday,Nov,12,2012
128,Tuesday,Nov,13,2012
129,Wednesday,Nov,14,2012
130,Thursday,Nov,15,2012
131,Friday,Nov,16,2012
132,Saturday,Nov,17,2012
133,Sunday,Nov,18,2012
134,Monday,Nov,19,2012
135,Tuesday,Nov,20,2012
136,Wednesday,Nov,21,2012
137,Thursday,Nov,22,2012
138,Friday,Nov,23,2012
139,Saturday,Nov,24,2012
140,Sunday,Nov,25,2012
141,Monday,Nov,26,2012
142,Tuesday,Nov,27,2012
143,Wednesday,Nov,28,2012
144,Thursday,Nov,29,2012
145,Friday,Nov,30,2012
146,Saturday,Dec,1,2012
147,Sunday,Dec,2,2012
148,Monday,Dec,3,2012
149,Tuesday,Dec,4,2012
150,Wednesday,Dec,5,2012
151,Thursday,Dec,6,2012
152,Friday,Dec,7,2012
153,Saturday,Dec,8,2012
154,Sunday,Dec,9,2012
155,Monday,Dec,10,2012
156,Tuesday,Dec,11,2012
157,Wednesday,Dec,12,2012
158,Thursday,Dec,13,2012
159,Friday,Dec,14,2012
160,Saturday,Dec,15,2012
161,Sunday,Dec,16,2012
