Date_ID,Day of Week,Month,Day,Year
0,Tuesday,Jun,25,2013
1,Wednesday,Jul,17,2013
2,Friday,May,17,2013
3,Tuesday,May,21,2013
4,Wednesday,Jun,19,2013
5,Friday,Aug,9,2013
6,Sunday,Jul,14,2013
7,Wednesday,Nov,14,2012
8,Friday,Sep,14,2012
9,Sunday,Jan,20,2013
10,Friday,Jul,12,2013
11,Saturday,Jun,15,2013
12,Thursday,Aug,1,2013
13,Wednesday,Jan,23,2013
14,Wednesday,Aug,7,2013
15,Thursday,Oct,18,2012
16,Friday,Oct,12,2012
17,Friday,Oct,19,2012
18,Friday,Jun,21,2013
19,Tuesday,Aug,13,2013
20,Thursday,Jan,17,2013
21,Thursday,Jun,13,2013
22,Friday,Jan,18,2013
23,Wednesday,May,8,2013
24,Tuesday,May,7,2013
25,Monday,Oct,22,2012
26,Tuesday,Oct,23,2012
27,Saturday,Oct,20,2012
28,Sunday,Oct,21,2012
29,Monday,Dec,24,2012
30,Tuesday,Dec,25,2012
31,Sunday,Dec,23,2012
32,Sunday,Jul,21,2013
33,Monday,Jan,21,2013
34,Friday,Jul,19,2013
35,Monday,Aug,5,2013
36,Monday,Sep,3,2012
37,Monday,May,13,2013
38,Thursday,May,16,2013
39,Thursday,Jul,18,2013
40,Monday,Mar,11,2013
41,Tuesday,Aug,6,2013
42,Saturday,Nov,10,2012
43,Wednesday,Jul,10,2013
44,Monday,Jul,15,2013
45,Saturday,Oct,27,2012
46,Sunday,Oct,28,2012
47,Wednesday,Oct,17,2012
48,Friday,Oct,26,2012
49,Friday,Jun,28,2013
50,Thursday,Jun,27,2013
51,Monday,Apr,1,2013
52,Thursday,Oct,25,2012
53,Sunday,Nov,18,2012
54,Thursday,Nov,15,2012
55,Thursday,Nov,1,2012
56,Monday,Nov,19,2012
57,Sunday,Nov,25,2012
58,Wednesday,Nov,28,2012
59,Tuesday,Nov,27,2012
60,Wednesday,Dec,26,2012
61,Tuesday,Jul,16,2013
62,Saturday,Dec,29,2012
63,Monday,Oct,15,2012
64,Thursday,Mar,19,2015
65,Friday,Mar,20,2015
66,Wednesday,Jan,21,2015
67,Saturday,Jan,10,2015
68,Tuesday,Jan,13,2015
69,Sunday,Mar,22,2015
70,Wednesday,Jan,28,2015
71,Saturday,Mar,21,2015
72,Tuesday,Jan,27,2015
73,Saturday,Feb,28,2015
74,Saturday,Jun,22,2013
75,Monday,May,11,2015
76,Thursday,Jan,8,2015
77,Wednesday,Feb,25,2015
78,Wednesday,May,13,2015
79,Friday,Jun,5,2015
80,Saturday,May,23,2015
81,Wednesday,May,6,2015
82,Friday,Jan,9,2015
83,Friday,Feb,27,2015
84,Tuesday,May,12,2015
85,Thursday,Jan,29,2015
86,Tuesday,Jan,20,2015
87,Wednesday,Jan,14,2015
88,Thursday,May,7,2015
89,Sunday,May,10,2015
90,Monday,Feb,23,2015
91,Thursday,Feb,26,2015
92,Monday,Jan,12,2015
93,Sunday,Jan,11,2015
94,Friday,Dec,26,2014
95,Sunday,Feb,15,2015
96,Friday,Dec,19,2014
97,Thursday,Jun,5,2014
98,Wednesday,Dec,24,2014
99,Thursday,Oct,2,2014
100,Saturday,Dec,27,2014
101,Saturday,Jan,17,2015
102,Sunday,Mar,1,2015
103,Friday,Jan,2,2015
104,Wednesday,Feb,4,2015
105,Saturday,May,9,2015
106,Sunday,Jan,25,2015
107,Monday,May,4,2015
108,Monday,Feb,2,2015
109,Thursday,Feb,19,2015
110,Sunday,Jan,18,2015
111,Thursday,Jan,22,2015
112,Thursday,Nov,20,2014
113,Monday,Jan,5,2015
114,Monday,Dec,29,2014
115,Wednesday,Oct,15,2014
116,Sunday,Dec,28,2014
117,Tuesday,Dec,30,2014
118,Tuesday,Dec,9,2014
119,Saturday,Dec,13,2014
120,Sunday,Jan,4,2015
121,Tuesday,Mar,24,2015
122,Wednesday,Mar,18,2015
123,Saturday,Mar,28,2015
124,Monday,Jan,20,2014
125,Thursday,Jan,15,2015
126,Saturday,Feb,14,2015
127,Tuesday,Feb,3,2015
128,Friday,May,23,2014
129,Sunday,Dec,21,2014
130,Thursday,Dec,26,2013
131,Saturday,Nov,1,2014
132,Tuesday,Feb,24,2015
133,Monday,Mar,30,2015
134,Sunday,May,3,2015
135,Thursday,Jan,1,2015
136,Saturday,Jan,24,2015
137,Friday,Mar,27,2015
138,Friday,May,8,2015
139,Friday,Feb,13,2015
140,Saturday,Jan,31,2015
141,Thursday,Feb,12,2015
142,Sunday,Feb,1,2015
143,Wednesday,Jan,1,2014
144,Wednesday,Jun,3,2015
145,Monday,Jan,19,2015
146,Monday,Dec,15,2014
147,Wednesday,Dec,31,2014
148,Wednesday,Dec,17,2014
149,Monday,Feb,29,2016
150,Monday,Feb,16,2015
151,Saturday,Feb,7,2015
152,Saturday,Jul,26,2014
153,Saturday,Dec,20,2014
154,Wednesday,Jan,7,2015
155,Friday,Jan,23,2015
156,Wednesday,Dec,30,2015
157,Tuesday,Jan,5,2016
158,Wednesday,Feb,18,2015
159,Friday,Feb,6,2015
160,Saturday,Nov,8,2014
161,Monday,Jan,26,2015
162,Sunday,Feb,22,2015
163,Monday,Jan,4,2016
164,Sunday,Dec,27,2015
165,Monday,Jul,7,2014
166,Sunday,Jan,6,2013
167,Tuesday,Oct,21,2014
168,Sunday,Apr,19,2015
169,Saturday,Dec,5,2015
170,Sunday,Feb,8,2015
171,Wednesday,Feb,11,2015
172,Sunday,Dec,7,2014
173,Tuesday,Dec,22,2015
174,Saturday,Dec,19,2015
175,Saturday,Nov,7,2015
176,Friday,Mar,6,2015
177,Thursday,Dec,17,2015
178,Thursday,Dec,31,2015
179,Wednesday,Dec,10,2014
180,Friday,Jan,16,2015
181,Thursday,Apr,9,2015
182,Wednesday,Dec,2,2015
183,Wednesday,Mar,25,2015
184,Sunday,Jun,15,2014
185,Tuesday,Dec,23,2014
186,Wednesday,Aug,12,2015
187,Friday,Oct,16,2015
188,Wednesday,Jan,8,2014
189,Monday,Dec,21,2015
190,Friday,Apr,17,2015
191,Friday,Feb,20,2015
192,Friday,Apr,24,2015
193,Monday,Mar,2,2015
194,Monday,Mar,23,2015
195,Wednesday,Nov,26,2014
196,Friday,Dec,5,2014
197,Monday,Mar,16,2015
198,Sunday,May,17,2015
199,Tuesday,Sep,9,2014
200,Thursday,Mar,12,2015
201,Thursday,Apr,23,2015
202,Wednesday,Mar,11,2015
203,Friday,Jan,30,2015
204,Thursday,Mar,26,2015
205,Sunday,Nov,23,2014
206,Sunday,Mar,29,2015
207,Saturday,May,2,2015
208,Thursday,Apr,16,2015
209,Friday,Nov,14,2014
210,Tuesday,Mar,17,2015
211,Saturday,Apr,11,2015
212,Friday,Mar,13,2015
213,Tuesday,Feb,17,2015
214,Saturday,Mar,7,2015
215,Tuesday,Mar,31,2015
216,Tuesday,Feb,10,2015
217,Monday,Nov,17,2014
218,Friday,Apr,3,2015
219,Monday,Dec,1,2014
220,Thursday,May,14,2015
221,Friday,Dec,28,2012
222,Wednesday,Apr,22,2015
223,Monday,Apr,20,2015
224,Tuesday,Mar,3,2015
225,Tuesday,Mar,10,2015
226,Saturday,Jan,3,2015
227,Monday,Nov,24,2014
228,Saturday,Feb,21,2015
229,Saturday,Apr,25,2015
230,Saturday,Mar,14,2015
231,Saturday,Mar,1,2014
232,Wednesday,Apr,1,2015
233,Tuesday,Apr,28,2015
234,Tuesday,Oct,1,2013
235,Tuesday,Apr,7,2015
236,Wednesday,Apr,15,2015
237,Wednesday,Apr,8,2015
238,Sunday,Jun,1,2014
239,Wednesday,Oct,1,2014
240,Monday,Nov,3,2014
241,Tuesday,Nov,18,2014
242,Tuesday,Jan,6,2015
243,Saturday,May,16,2015
244,Monday,Feb,9,2015
245,Tuesday,Mar,25,2014
246,Wednesday,Apr,29,2015
247,Thursday,Feb,5,2015
248,Saturday,Apr,18,2015
249,Saturday,Dec,31,2011
250,Friday,May,1,2015
251,Friday,May,15,2015
252,Thursday,Apr,30,2015
253,Saturday,May,3,2014
254,Friday,Apr,10,2015
255,Tuesday,May,5,2015
256,Monday,Apr,27,2015
257,Monday,Mar,9,2015
258,Thursday,Dec,18,2014
259,Sunday,Mar,15,2015
260,Saturday,May,30,2015
261,Tuesday,Apr,21,2015
262,Wednesday,Jan,6,2016
263,Tuesday,May,19,2015
264,Thursday,Apr,2,2015
265,Saturday,Sep,20,2014
266,Saturday,Apr,4,2015
267,Sunday,Jun,22,2014
