Date_ID,Day of Week,Month,Day,Year
0,Wednesday,Aug,1,2012
1,Thursday,Mar,20,2014
2,Friday,Dec,18,2015
4,Tuesday,Apr,1,2014
5,Saturday,May,30,2015
6,Saturday,Feb,9,2013
7,Saturday,Jun,20,2015
324,Friday,Aug,15,2014
8,Friday,Mar,8,2013
9,Thursday,Oct,1,2015
977,Saturday,Apr,18,2015
11,Monday,Mar,5,2012
12,Tuesday,Jun,2,2015
14,Sunday,Nov,24,2013
611,Sunday,Sep,23,2012
15,Monday,Feb,17,2014
16,Tuesday,Jul,10,2012
17,Tuesday,Aug,27,2013
18,Sunday,May,25,2014
19,Saturday,May,3,2014
20,Wednesday,Aug,29,2012
21,Wednesday,Feb,5,2014
22,Friday,Oct,3,2014
23,Saturday,Aug,11,2012
158,Thursday,Jun,13,2013
25,Thursday,Sep,5,2013
26,Monday,Apr,28,2014
27,Thursday,Oct,24,2013
28,Saturday,Jan,25,2014
29,Friday,Apr,5,2013
30,Tuesday,Oct,6,2015
31,Monday,Nov,11,2013
32,Sunday,Oct,14,2012
33,Friday,Feb,1,2013
34,Monday,Jun,10,2013
35,Wednesday,May,9,2012
36,Friday,Oct,19,2012
37,Saturday,Jun,2,2012
38,Sunday,Aug,2,2015
39,Monday,Mar,16,2015
40,Saturday,Mar,14,2015
41,Tuesday,Feb,10,2015
42,Monday,Jan,30,2012
43,Saturday,Nov,2,2013
44,Wednesday,May,21,2014
45,Saturday,Mar,10,2012
46,Sunday,Jan,15,2012
331,Saturday,Apr,20,2013
49,Wednesday,May,15,2013
50,Wednesday,Dec,23,2015
51,Monday,May,25,2015
52,Sunday,Mar,29,2015
53,Wednesday,Jan,14,2015
54,Tuesday,May,28,2013
55,Tuesday,Sep,2,2014
56,Thursday,Jul,30,2015
57,Tuesday,May,21,2013
58,Saturday,Apr,12,2014
59,Saturday,Sep,21,2013
256,Tuesday,Dec,8,2015
61,Saturday,May,24,2014
62,Thursday,Dec,11,2014
63,Wednesday,Dec,3,2014
64,Tuesday,Jun,9,2015
65,Thursday,Aug,15,2013
66,Thursday,Aug,2,2012
67,Saturday,Dec,6,2014
68,Saturday,Jul,14,2012
69,Saturday,Feb,21,2015
70,Friday,Aug,29,2014
258,Sunday,Jun,29,2014
72,Sunday,Oct,13,2013
73,Saturday,Aug,16,2014
74,Tuesday,Mar,11,2014
1247,Saturday,Mar,16,2013
76,Sunday,Aug,12,2012
77,Monday,Jul,13,2015
78,Tuesday,Apr,2,2013
79,Sunday,May,11,2014
80,Monday,Dec,14,2015
81,Thursday,Jul,19,2012
82,Monday,Sep,7,2015
83,Tuesday,Apr,29,2014
84,Saturday,Sep,15,2012
85,Monday,Jan,28,2013
86,Sunday,Jun,10,2012
87,Sunday,Jun,23,2013
88,Tuesday,Aug,21,2012
89,Wednesday,Jul,29,2015
90,Saturday,Jan,7,2012
91,Tuesday,Oct,20,2015
92,Monday,Feb,20,2012
93,Wednesday,Nov,18,2015
94,Saturday,Jan,14,2012
95,Friday,Feb,6,2015
96,Sunday,Feb,24,2013
97,Saturday,Dec,5,2015
98,Tuesday,Jul,1,2014
99,Thursday,Jan,17,2013
100,Saturday,Jan,18,2014
101,Thursday,Dec,25,2014
102,Friday,Jul,24,2015
103,Saturday,Jan,11,2014
104,Thursday,May,9,2013
105,Friday,Jul,20,2012
106,Sunday,Dec,23,2012
107,Sunday,Mar,17,2013
108,Monday,May,19,2014
109,Monday,Jan,27,2014
110,Monday,Sep,28,2015
111,Friday,Feb,15,2013
112,Monday,Jun,4,2012
114,Wednesday,Jun,4,2014
115,Tuesday,Jan,10,2012
116,Thursday,Aug,13,2015
117,Thursday,May,1,2014
118,Friday,Nov,20,2015
119,Thursday,Jan,19,2012
120,Friday,Dec,27,2013
121,Thursday,Feb,14,2013
122,Sunday,Dec,7,2014
123,Thursday,Oct,11,2012
124,Tuesday,Sep,11,2012
125,Wednesday,Oct,15,2014
126,Sunday,Nov,9,2014
127,Sunday,Jan,27,2013
128,Tuesday,Jul,3,2012
129,Thursday,Nov,1,2012
288,Monday,Jul,16,2012
131,Friday,Jun,29,2012
132,Wednesday,Dec,11,2013
133,Thursday,Mar,13,2014
134,Sunday,Jul,27,2014
135,Thursday,Dec,26,2013
136,Monday,Apr,13,2015
137,Friday,Oct,2,2015
138,Tuesday,Nov,20,2012
139,Saturday,Jul,27,2013
140,Tuesday,May,1,2012
141,Monday,Mar,17,2014
142,Sunday,Sep,9,2012
143,Thursday,Aug,9,2012
326,Thursday,Jun,14,2012
144,Wednesday,Mar,27,2013
145,Thursday,Jun,11,2015
146,Wednesday,Mar,7,2012
147,Friday,Jul,5,2013
148,Friday,Mar,15,2013
149,Monday,Feb,11,2013
150,Wednesday,Nov,21,2012
151,Thursday,Nov,22,2012
152,Sunday,Mar,22,2015
1256,Saturday,Feb,25,2012
154,Saturday,Jul,20,2013
155,Wednesday,Nov,12,2014
156,Thursday,Oct,18,2012
157,Saturday,Jun,28,2014
24,Sunday,Mar,11,2012
1025,Friday,Jan,20,2012
160,Thursday,Mar,28,2013
161,Saturday,Jan,17,2015
162,Friday,Jan,6,2012
163,Monday,Nov,17,2014
164,Monday,Sep,15,2014
165,Monday,Jan,5,2015
166,Monday,Dec,31,2012
167,Tuesday,Mar,12,2013
168,Friday,Sep,28,2012
170,Thursday,Apr,9,2015
171,Wednesday,Nov,25,2015
172,Tuesday,Dec,9,2014
173,Tuesday,Dec,4,2012
174,Monday,Mar,31,2014
175,Tuesday,Jan,6,2015
176,Wednesday,Oct,24,2012
177,Saturday,Apr,7,2012
178,Wednesday,Jul,25,2012
1155,Saturday,Nov,1,2014
180,Wednesday,Jan,2,2013
181,Tuesday,May,29,2012
182,Saturday,Mar,2,2013
183,Saturday,Oct,25,2014
184,Wednesday,Jul,1,2015
185,Friday,Jan,31,2014
186,Sunday,Jan,25,2015
187,Monday,May,4,2015
188,Saturday,Oct,19,2013
189,Monday,Feb,10,2014
190,Saturday,Apr,27,2013
191,Saturday,May,23,2015
192,Thursday,Jul,4,2013
193,Sunday,Apr,6,2014
194,Sunday,Sep,6,2015
195,Monday,Jun,8,2015
196,Sunday,Jun,17,2012
511,Thursday,Mar,8,2012
197,Wednesday,Mar,26,2014
198,Sunday,Jun,21,2015
199,Wednesday,Apr,18,2012
200,Tuesday,Apr,3,2012
202,Tuesday,Jul,15,2014
203,Wednesday,Jan,21,2015
204,Wednesday,May,20,2015
205,Friday,Mar,27,2015
206,Monday,Feb,2,2015
207,Wednesday,Aug,14,2013
208,Sunday,Oct,28,2012
209,Saturday,Nov,3,2012
210,Thursday,Aug,16,2012
211,Sunday,Aug,18,2013
212,Tuesday,Dec,1,2015
213,Friday,Apr,20,2012
1267,Wednesday,Nov,13,2013
215,Sunday,Jun,7,2015
216,Sunday,Jun,24,2012
217,Friday,Feb,3,2012
1302,Friday,Jan,24,2014
219,Tuesday,Jan,20,2015
220,Thursday,Sep,11,2014
388,Monday,Mar,10,2014
222,Friday,Aug,2,2013
223,Wednesday,Feb,18,2015
224,Friday,Oct,24,2014
169,Saturday,Nov,22,2014
515,Wednesday,Dec,16,2015
227,Sunday,Dec,28,2014
228,Thursday,Jan,23,2014
229,Thursday,Jul,26,2012
230,Tuesday,May,12,2015
231,Friday,Aug,14,2015
232,Thursday,Jul,31,2014
233,Sunday,Jan,19,2014
234,Tuesday,Oct,15,2013
235,Saturday,Feb,11,2012
236,Wednesday,Jul,4,2012
237,Tuesday,Feb,3,2015
238,Wednesday,Jan,28,2015
239,Friday,Apr,13,2012
240,Monday,Jul,7,2014
241,Tuesday,Jul,21,2015
242,Thursday,Oct,16,2014
243,Monday,May,18,2015
244,Monday,Aug,26,2013
245,Thursday,Oct,10,2013
246,Saturday,Mar,21,2015
247,Tuesday,Nov,27,2012
248,Monday,Nov,30,2015
249,Saturday,Jan,21,2012
250,Saturday,Jan,28,2012
251,Saturday,Feb,7,2015
252,Tuesday,Jun,4,2013
253,Saturday,Mar,9,2013
254,Monday,May,7,2012
255,Wednesday,May,2,2012
60,Monday,Mar,19,2012
257,Saturday,May,12,2012
71,Tuesday,Feb,26,2013
259,Tuesday,Jun,30,2015
260,Monday,May,11,2015
261,Monday,Oct,21,2013
262,Monday,Jul,20,2015
263,Thursday,Jun,6,2013
264,Wednesday,Jan,1,2014
265,Tuesday,Dec,15,2015
266,Sunday,Aug,19,2012
267,Wednesday,Apr,24,2013
268,Sunday,May,31,2015
269,Thursday,Aug,8,2013
270,Saturday,Aug,30,2014
271,Thursday,May,24,2012
272,Wednesday,Jun,27,2012
273,Monday,Dec,24,2012
274,Wednesday,Dec,31,2014
275,Monday,Apr,22,2013
276,Wednesday,Sep,10,2014
277,Friday,Apr,4,2014
278,Tuesday,Jun,17,2014
279,Friday,May,25,2012
280,Thursday,Jul,10,2014
281,Monday,Feb,6,2012
282,Thursday,Feb,21,2013
283,Saturday,Feb,23,2013
284,Tuesday,Mar,25,2014
285,Saturday,Oct,12,2013
286,Tuesday,Jan,1,2013
287,Saturday,Jun,8,2013
289,Thursday,Mar,29,2012
290,Sunday,Oct,4,2015
291,Sunday,Jun,30,2013
292,Friday,Apr,26,2013
293,Friday,Mar,20,2015
294,Tuesday,Dec,22,2015
295,Friday,Nov,13,2015
297,Thursday,Jan,1,2015
298,Sunday,Aug,17,2014
299,Sunday,Jan,8,2012
300,Tuesday,Apr,30,2013
301,Saturday,May,19,2012
302,Saturday,Jul,18,2015
397,Sunday,Sep,29,2013
304,Friday,Nov,30,2012
305,Monday,Jan,2,2012
306,Tuesday,Oct,14,2014
307,Thursday,Sep,12,2013
308,Tuesday,Oct,2,2012
309,Thursday,Sep,6,2012
310,Friday,Dec,14,2012
311,Saturday,Feb,18,2012
766,Sunday,Dec,22,2013
436,Thursday,Dec,27,2012
314,Monday,Oct,1,2012
315,Tuesday,Oct,23,2012
316,Thursday,Nov,28,2013
317,Friday,May,30,2014
318,Sunday,Sep,8,2013
319,Monday,Mar,26,2012
320,Saturday,Dec,22,2012
321,Wednesday,Aug,7,2013
322,Tuesday,Jun,18,2013
323,Sunday,Apr,19,2015
496,Tuesday,Feb,24,2015
325,Thursday,Apr,3,2014
466,Monday,Jul,14,2014
327,Monday,Nov,19,2012
328,Wednesday,Mar,28,2012
329,Tuesday,Apr,24,2012
330,Tuesday,Jun,16,2015
332,Monday,Nov,24,2014
333,Wednesday,Feb,8,2012
334,Wednesday,Mar,25,2015
335,Tuesday,Jan,13,2015
336,Friday,Dec,28,2012
338,Saturday,Nov,28,2015
339,Wednesday,Jun,18,2014
498,Tuesday,Mar,4,2014
341,Friday,Jan,3,2014
342,Sunday,Dec,27,2015
343,Monday,Jan,19,2015
1285,Wednesday,Feb,12,2014
345,Thursday,Oct,30,2014
346,Tuesday,Mar,17,2015
347,Tuesday,Feb,19,2013
348,Friday,Sep,18,2015
349,Tuesday,Sep,29,2015
644,Tuesday,Apr,21,2015
351,Monday,Aug,5,2013
352,Friday,Jan,25,2013
1287,Sunday,Feb,12,2012
354,Tuesday,Mar,3,2015
355,Tuesday,Apr,17,2012
356,Thursday,Jan,30,2014
357,Sunday,Nov,8,2015
777,Friday,Feb,10,2012
359,Sunday,Jun,15,2014
360,Monday,Sep,1,2014
361,Saturday,Aug,24,2013
362,Saturday,Sep,5,2015
363,Sunday,Jul,7,2013
364,Friday,Jul,13,2012
365,Wednesday,Feb,25,2015
366,Tuesday,Dec,10,2013
367,Wednesday,Feb,29,2012
368,Wednesday,Jan,11,2012
369,Saturday,Feb,2,2013
370,Friday,Sep,26,2014
371,Wednesday,Oct,2,2013
372,Friday,Nov,2,2012
373,Sunday,Nov,25,2012
337,Wednesday,Mar,12,2014
375,Monday,Feb,27,2012
376,Saturday,Dec,13,2014
377,Thursday,Sep,19,2013
378,Friday,Apr,24,2015
783,Thursday,Apr,5,2012
380,Monday,Apr,2,2012
381,Tuesday,Feb,14,2012
382,Monday,Oct,22,2012
383,Tuesday,Mar,19,2013
384,Tuesday,Aug,18,2015
385,Monday,Jul,6,2015
386,Friday,Jun,13,2014
387,Sunday,Dec,14,2014
389,Tuesday,Nov,25,2014
390,Monday,Aug,3,2015
391,Tuesday,Mar,13,2012
392,Friday,Apr,19,2013
393,Friday,Mar,9,2012
786,Thursday,Apr,26,2012
395,Tuesday,Oct,30,2012
396,Thursday,Jan,2,2014
303,Monday,Sep,22,2014
398,Monday,Sep,14,2015
399,Thursday,Jun,19,2014
400,Sunday,Dec,21,2014
401,Friday,Jun,5,2015
402,Monday,Sep,21,2015
403,Saturday,Mar,1,2014
404,Wednesday,May,8,2013
405,Tuesday,Feb,28,2012
406,Saturday,Sep,26,2015
407,Friday,Aug,23,2013
408,Wednesday,Aug,27,2014
409,Friday,Apr,25,2014
410,Thursday,Oct,15,2015
411,Friday,Aug,24,2012
412,Monday,Aug,31,2015
413,Sunday,Jun,3,2012
414,Tuesday,Jul,29,2014
415,Monday,Jul,28,2014
416,Saturday,Jun,7,2014
417,Saturday,Aug,22,2015
418,Monday,Sep,16,2013
419,Sunday,Sep,30,2012
420,Sunday,May,27,2012
421,Wednesday,Dec,9,2015
422,Sunday,Nov,11,2012
423,Tuesday,Oct,1,2013
424,Friday,Aug,9,2013
425,Friday,May,4,2012
426,Tuesday,Nov,18,2014
428,Sunday,Dec,16,2012
429,Thursday,Mar,5,2015
430,Sunday,Apr,28,2013
431,Friday,May,22,2015
432,Monday,Apr,27,2015
433,Friday,Dec,13,2013
435,Monday,Jun,3,2013
313,Thursday,Apr,16,2015
437,Saturday,Apr,11,2015
793,Friday,Feb,14,2014
438,Tuesday,Jun,23,2015
439,Monday,Oct,14,2013
440,Friday,Apr,27,2012
441,Tuesday,Sep,8,2015
442,Tuesday,Sep,18,2012
443,Friday,Aug,8,2014
444,Saturday,Jul,13,2013
794,Friday,Jul,6,2012
446,Friday,Jun,21,2013
447,Friday,Apr,6,2012
448,Thursday,Nov,27,2014
449,Friday,Apr,3,2015
450,Tuesday,Apr,23,2013
451,Sunday,Jun,2,2013
629,Wednesday,Dec,2,2015
453,Friday,May,3,2013
454,Tuesday,May,8,2012
1305,Sunday,Jun,16,2013
1326,Thursday,Jul,24,2014
457,Friday,Dec,21,2012
458,Wednesday,Nov,19,2014
459,Thursday,Nov,8,2012
460,Wednesday,Jun,26,2013
461,Sunday,Jul,15,2012
