Date_ID,Day of Week,Month,Day,Year
578,Wednesday,Aug,1,2012
1174,Thursday,Mar,20,2014
1,Friday,Dec,18,2015
609,Saturday,Sep,1,2012
1186,Tuesday,Apr,1,2014
3,Saturday,May,30,2015
770,Saturday,Feb,9,2013
8,Saturday,Jun,20,2015
797,Friday,Mar,8,2013
12,Thursday,Oct,1,2015
1116,Tuesday,Jan,21,2014
429,Monday,Mar,5,2012
13,Tuesday,Jun,2,2015
116,Friday,Jan,16,2015
1058,Sunday,Nov,24,2013
1143,Monday,Feb,17,2014
556,Tuesday,Jul,10,2012
969,Tuesday,Aug,27,2013
1240,Sunday,May,25,2014
1218,Saturday,May,3,2014
606,Wednesday,Aug,29,2012
1131,Wednesday,Feb,5,2014
1371,Friday,Oct,3,2014
588,Saturday,Aug,11,2012
435,Sunday,Mar,11,2012
978,Thursday,Sep,5,2013
1213,Monday,Apr,28,2014
1027,Thursday,Oct,24,2013
1120,Saturday,Jan,25,2014
825,Friday,Apr,5,2013
30,Tuesday,Oct,6,2015
1045,Monday,Nov,11,2013
652,Sunday,Oct,14,2012
762,Friday,Feb,1,2013
891,Monday,Jun,10,2013
494,Wednesday,May,9,2012
657,Friday,Oct,19,2012
518,Saturday,Jun,2,2012
39,Sunday,Aug,2,2015
40,Monday,Mar,16,2015
44,Saturday,Mar,14,2015
45,Tuesday,Feb,10,2015
394,Monday,Jan,30,2012
1036,Saturday,Nov,2,2013
1236,Wednesday,May,21,2014
434,Saturday,Mar,10,2012
379,Sunday,Jan,15,2012
905,Monday,Jun,24,2013
150,Friday,Jan,9,2015
865,Wednesday,May,15,2013
51,Wednesday,Dec,23,2015
52,Monday,May,25,2015
55,Sunday,Mar,29,2015
56,Wednesday,Jan,14,2015
878,Tuesday,May,28,2013
1340,Tuesday,Sep,2,2014
59,Thursday,Jul,30,2015
871,Tuesday,May,21,2013
1197,Saturday,Apr,12,2014
994,Saturday,Sep,21,2013
443,Monday,Mar,19,2012
1239,Saturday,May,24,2014
1440,Thursday,Dec,11,2014
1432,Wednesday,Dec,3,2014
58,Tuesday,Jun,9,2015
957,Thursday,Aug,15,2013
579,Thursday,Aug,2,2012
1435,Saturday,Dec,6,2014
560,Saturday,Jul,14,2012
72,Saturday,Feb,21,2015
1336,Friday,Aug,29,2014
787,Tuesday,Feb,26,2013
1016,Sunday,Oct,13,2013
1323,Saturday,Aug,16,2014
