Time_ID,Hour,Minute
0,2200,11
1,2000,37
2,800,31
3,300,02
4,2100,18
5,300,59
6,800,33
7,2100,45
264,000,35
9,200,07
10,1100,07
11,2000,07
12,2200,13
13,500,01
14,300,04
15,2100,29
16,300,41
17,300,53
18,700,18
19,1300,09
20,2200,03
21,1600,20
22,500,15
23,300,12
24,200,37
25,700,04
26,2300,43
27,2200,05
28,300,43
29,1900,24
30,200,10
31,000,07
32,400,45
33,1700,07
34,1000,54
35,1800,56
36,100,34
37,1700,01
38,1700,15
39,1800,40
40,2200,52
41,800,50
42,1900,32
43,1800,46
44,800,27
45,1100,54
46,400,43
47,2000,26
48,1000,42
49,1000,48
50,1300,12
51,1700,40
52,300,38
53,1700,42
54,800,07
1237,2300,20
56,800,17
57,1100,46
58,1300,28
59,700,39
60,1200,57
61,1000,13
62,1200,22
63,1300,38
64,100,07
65,900,35
66,300,08
67,1200,51
68,1300,42
69,1100,48
70,200,51
71,800,19
72,400,53
73,300,25
74,2200,54
75,400,51
76,700,55
77,1700,17
78,300,27
79,1300,03
403,1200,34
81,2100,23
82,100,38
84,1300,05
85,000,27
86,700,49
87,1800,20
88,100,19
89,400,21
90,2000,44
91,400,27
92,600,55
93,2000,11
94,400,37
95,1300,59
96,600,43
97,2000,50
98,400,08
99,1200,45
100,000,50
101,1200,47
1001,000,45
103,900,33
104,1800,34
105,900,23
106,2000,13
107,1000,19
108,100,23
109,900,21
110,300,36
111,100,21
112,200,44
113,500,44
114,1600,53
115,1500,23
116,1700,23
117,1900,59
118,600,04
119,1900,47
120,1600,55
121,500,42
122,1000,30
123,100,50
124,400,35
125,2000,56
126,600,45
678,2300,06
128,1900,38
129,1000,32
130,2300,31
131,100,52
132,1500,59
133,2300,10
134,600,38
135,1400,28
136,1400,01
137,900,53
138,2100,44
139,1400,13
140,1500,38
141,700,12
142,500,52
143,1500,06
144,1400,52
145,1400,03
146,1200,40
147,500,34
148,1600,49
149,900,59
150,500,36
151,1900,41
152,1200,17
153,1400,15
154,1900,55
155,1500,47
156,600,24
157,1900,57
158,1200,49
159,600,26
160,1500,08
161,2100,10
162,1300,53
163,2200,42
164,1600,59
165,2100,06
166,500,09
167,700,25
168,2100,51
169,400,39
170,1400,42
171,1600,34
172,1400,19
173,700,10
174,400,02
175,1600,36
176,600,11
177,400,14
