Time_ID,Hour,Minute
1056,2200,11
842,2000,37
1145,800,31
641,300,02
150,2100,18
206,300,59
849,800,33
254,2100,45
333,000,35
1324,200,07
977,1100,07
769,2000,07
1031,2200,13
723,500,01
1134,300,04
1014,2100,29
115,300,41
519,300,53
1147,700,18
1077,1300,09
1009,2200,03
75,1600,20
325,500,15
464,300,12
910,200,37
1098,700,04
314,2300,43
7,2200,05
1414,300,43
577,1900,24
619,200,10
614,000,07
278,400,45
174,1700,07
597,1000,54
483,1800,56
312,100,34
936,1700,01
399,1700,15
262,1800,40
122,2200,52
257,800,50
627,1900,32
802,1800,46
1300,800,27
1047,1100,54
1343,400,43
51,2000,26
1344,1000,42
1389,1000,48
1096,1300,12
199,1700,40
1001,300,38
145,1700,42
1199,800,07
113,2300,20
1156,800,17
497,1100,46
646,1300,28
702,700,39
1286,1200,57
1406,1000,13
979,1200,22
715,1300,38
1061,100,07
142,900,35
911,300,08
1183,1200,51
1182,1300,42
391,1100,48
0,200,51
673,800,19
171,400,53
294,300,25
863,2200,54
964,400,51
425,700,55
794,1700,17
66,300,27
954,1300,03
1129,1200,34
474,2100,23
449,100,38
10,1300,05
628,000,27
168,700,49
291,1800,20
163,100,19
569,400,21
806,2000,44
907,400,27
701,600,55
517,2000,11
1172,400,37
59,1300,59
1038,600,43
273,2000,50
963,400,08
28,1200,45
148,000,50
1155,1200,47
47,000,45
1326,900,33
133,000,30
1393,900,23
1242,2000,13
1262,1000,19
175,100,23
1251,900,21
1032,300,36
1237,100,21
941,200,44
1411,500,44
1310,1600,53
744,1500,23
984,1700,23
1383,1900,59
1013,600,04
548,1900,47
634,1600,55
717,500,42
249,1000,30
371,100,50
539,400,35
424,2000,56
236,600,45
359,2300,06
4,1900,38
610,1000,32
1291,2300,31
547,100,52
351,1500,59
461,2300,10
812,600,38
647,1400,28
383,1400,01
1256,900,53
393,2100,44
927,1400,13
924,1500,38
1071,700,12
1094,500,52
197,1500,06
668,1400,52
730,1400,03
322,1200,40
1330,500,34
824,1600,49
725,900,59
840,500,36
1204,1900,41
1283,1200,17
551,1400,15
263,1900,55
1402,1500,47
316,600,24
607,1900,57
886,1200,49
394,600,26
